,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',45
3,'2000-04-01',55
4,'2000-05-01',68
5,'2000-06-01',74
6,'2000-07-01',76
7,'2000-08-01',92
8,'2000-09-01',184
9,'2000-10-01',235
10,'2000-11-01',293
11,'2000-12-01',343
12,'2001-01-01',372
13,'2001-02-01',571
14,'2001-03-01',707
15,'2001-04-01',731
16,'2001-05-01',756
17,'2001-06-01',764
18,'2001-07-01',774
19,'2001-08-01',765
20,'2001-09-01',765
21,'2001-10-01',771
22,'2001-11-01',730
23,'2001-12-01',696
24,'2002-01-01',640
25,'2002-02-01',622
26,'2002-03-01',622
27,'2002-04-01',608
28,'2002-05-01',359
29,'2002-06-01',347
30,'2002-07-01',352
31,'2002-08-01',361
32,'2002-09-01',400
33,'2002-10-01',438
34,'2002-11-01',450
35,'2002-12-01',425
36,'2003-01-01',401
37,'2003-02-01',417
38,'2003-03-01',763
39,'2003-04-01',783
40,'2003-05-01',752
41,'2003-06-01',774
42,'2003-07-01',782
43,'2003-08-01',789
44,'2003-09-01',899
45,'2003-10-01',937
46,'2003-11-01',947
47,'2003-12-01',957
